Item Code,Item Name,Standard Rate,Image Name
M00125,"Juicy Glass Stylish 300ML.",153.00,M00125.jpg
M00164,"GLASS STAND GALAXY [POLYPACK] X009",199.00,M00164.jpg
M00603,"Glass Stand S.S. Wire Straight",199.00,M00603.jpg
M00161,"Glass Stand X013 S.S. Handal",499.00,M00161.jpg
M00165,"Glass Stand Allwin",149.00,M00165.jpg
M01994,"Slicer PLAIN S.S. With Stand",199.00,M01994.jpg
M01995,"Slicer ZIG ZAG S.S. With Stand",199.00,M01995.jpg
M01996,"Slicer SMALL Hole S.S. With Stand",199.00,M01996.jpg
M01997,"Slicer Big Hole S.S. With Stand",199.00,M01997.jpg
M01992,"Slicer 2 In 1 S.S. With Stand",199.00,M01992.jpg
M00345,"Jumbo Slicer Stainless steel",199.00,M00345.jpg
M00365,"Slicer 2 in 1 S.S. [P]",165.00,M00365.jpg
M00672,"WOODEN COCONUT BREAKER SQUARE",403.64,M00672.jpg
M00671,"WOODEN COCONUT BREAKER ROUND",303.64,M00671.jpg
M00647,"SLICER DICER ALL IN ONE",629.57,M00647.jpg
M00449,"Ice Maker.",999.00,M00449.jpg
M00311,"Coconut Breaker S.S. [BIG] – W011",499.00,M00311.jpg
M00298,"Slicer MINI (12 Pcs Set) D007",299.00,M00298.jpg
M00465,"Coconut Scrapper Vacume.",499.00,M00465.jpg
M00312,"Coconut Breaker S.S. [Medium] – W012",499.00,M00312.jpg
M00277,"Coconut Scraper Stainless Steel – W002",499.00,M00277.jpg
M00300,"8 In 1 Slicer & Grater With Juicer",499.00,M00300.jpg
M00477,"Adjustable Slicer.",499.00,M00477.jpg
M01922,"Grater Jeet Peeler Sharp (1 Dozen Pack) SK",199.00,M01922.jpg
M00296,"6 In1 Slicer & Grater With Safety Holder D079",499.00,M00296.jpg
M00828,"SLICER S.S. JUMBO [K]",249.49,M00828.jpg
M00584,"S.S. Coconut Scraper Steel Base.",149.00,M00584.jpg
M00363,"Adjustable S.S. Slicer (box Pack)",199.00,M00363.jpg
M01625,"7 In 1 Slicer Grater Stainless Steel",189.00,M01625.jpg
M00827,"Slicer S.S. 2 In 1 [K]",194.98,M00827.jpg
M00259,"4 IN 1 Slicer BIG",299.00,M00259.jpg
M00299,"6 In 1 Slicer [Box Packing] – D008",199.00,M00299.jpg
M00336,"Plastic Coconut Breaker",199.00,M00336.jpg
M00826,"SLICER S.S. [K]",168.59,M00826.jpg
M00302,"Abs Slicer Zari(B-172)",199.00,M00302.jpg
M00301,"Abs Slicer Plain(B-171)",199.00,M00301.jpg
M01673,"Small Size Small Hall Cheese Grater",99.00,M01673.jpg
M01672,"Big Size Big Hall Cheese Grater",99.00,M01672.jpg
M00297,"Dry Fruit & Multi-purpose Adjustable Slicer",199.00,M00297.jpg
M00344,"Slicer 2 In 1 S.S.",199.00,M00344.jpg
M00105,"Egg Cutter SQUARE",199.00,M00105.jpg
M00450,"Dry Fruit Slicer.",199.00,M00450.jpg
M00649,"SLICER ADJUSTABLE SMALL PLASTIC [R]",99.99,M00649.jpg
M00104,"EGG Slicer – O003",199.00,M00104.jpg
M00122,"CHEESE GRATER SMALL HOLE (STEEL HANDLE) ULTRA.",999.00,M00122.jpg
M00343,"Single Blade Sicer S.S",99.00,M00343.jpg
M00123,"CHEESE GRATER BIG HOLE (STEEL HANDLE) ULTRA.",999.00,M00123.jpg
M00506,"Cheez Greater.",199.00,M00506.jpg
M00102,"Cheez Grater BLEZ S.S. REGULAR",199.00,M00102.jpg
M00099,"Cheez Grater Plastic",199.00,M00099.jpg
M00528,"3 In 1 Grater – P.P..",199.00,M00528.jpg
M00101,"Cheese And Vegetable Grater – D034",199.00,M00101.jpg
M01359,"Grater Chiena Big Holl",40.00,M01359.jpg
M00635,"CHEES GRATER S S (P)",19.00,M00635.jpg
M00496,"Wisk Wire Steel BIG.",199.00,M00496.jpg
M00767,"RAWAI SS",89.00,M00767.jpg
M00270,"RAWAI Mixi S.S. [Plastic Handle] – Q002",199.00,M00270.jpg
M00269,"Spring Rawai S.S. [PREMIUM] – Q010",199.00,M00269.jpg
M00271,"Spring RawaiMixi [DELUXE] [Polypack] – Q008",199.00,M00271.jpg
M01465,"Beater Menual",149.00,M01465.jpg
M00031,"BEATER HAND TWIST WITH S.S.BLADE",499.00,M00031.jpg
M00032,"POWER FREE HAND BLENDER – JUMBO",499.00,M00032.jpg
M00029,"Power Free Hand Beater – Z010",199.00,M00029.jpg
M01939,"Aluminium Juicer [390gram]",499.00,M01939.jpg
M01736,"Plastic Manual Citrus Juicer for Orange Lemon Fruit Squeezer Orange Juice Cup Hand Juicer",99.00,M01736.jpg
M01647,"Juicy Cup (k.v.)",99.00,M01647.jpg
M01609,"ORANGE JUICER 500ML (BOX PACKING)",149.00,M01609.jpg
M01439,"Juicer Squre S.S. Jali (sayona)-P047",299.00,M01439.jpg
M01302,"Juicy Orang Ge105",149.00,M01302.jpg
M00659,"JUICER PLASTIC JALI [P.P.]",299.00,M00659.jpg
M00658,"JUICER S.S. JALI [P.P.]",299.00,M00658.jpg
M00884,"JUICER MINI JUICY JATPAT",99.99,M00884.jpg
M00666,"JUICER BLACK [M]",2142.86,M00666.jpg
M00667,"JUICER SILVER [M]",2300.05,M00667.jpg
M00668,"JUICER CHROME [M]",2143.00,M00668.jpg
M00082,"Aluminium Juicer. (560-600gm)",999.00,M00082.jpg
M00171,"ORANGE Juicer MINI [Box Pack]",199.00,M00171.jpg
M00467,"Juicer Rapid Slice Squeeze (R)",599.00,M00467.jpg
M00169,"Hand Fruit Jucier Manual – P028",499.00,M00169.jpg
M00005,"Juicer Plastic Jali.",499.00,M00005.jpg
M00004,"Juicer S.S Jali .",499.00,M00004.jpg
M00173,"Best Quality Juicer Plastic [F] – P044",499.00,M00173.jpg
M00175,"Best Quality S.S. Jali Juicer – P040",499.00,M00175.jpg
M01388,"Mug Bathing 750 Ml(12pcs)",199.00,M01388.jpg
M01949,"Bathing Mug Spiral 1200 Ml (12PCS Set)",399.00,M01949.jpg
M01369,"Bathing Mug 1000ml(12 Pcs)",249.00,M01369.jpg
M01930,"Bathing Mug Square Mega 1000ml 12pcs Set",399.00,M01930.jpg
M01950,"Buket 5 LTR (plain)",199.00,M01950.jpg
M00186,"Mop Rod M.S.",199.00,M00186.jpg
M00466,"Bathroom Wall Cabinet (R)",999.00,M00466.jpg
